##lambda [micron]           kappa_ext [cm^2 / g]
## from Marc Schartmann 26. Sep 2014 (should match average dust profile of Schartmann+ 2005)
##
    0.0010000000       39793.801
    0.0013180000       67494.584
    0.0017380000       78152.768
    0.0022910000       116309.28
    0.0030199999       154490.88
    0.0039809998       210697.36
    0.0052479999       200780.75
    0.0069180001       267667.88
    0.0091199996       323695.77
     0.012020000       356932.44
     0.015850000       404597.06
     0.020889999       448591.37
     0.027540000       507437.96
     0.036309998       565666.00
     0.047860000       637002.05
     0.063100003       931517.27
     0.083180003       1137652.6
      0.10960000       919333.49
      0.14450000       631419.27
      0.19050001       567468.25
      0.25119999       503253.84
      0.33109999       368146.13
      0.43650001       278863.55
      0.57539999       199173.93
      0.75860000       135122.01
       1.0000000       85026.363
       1.1480000       66102.880
       1.3180000       50531.502
       1.5140001       38448.414
       1.7380000       28846.463
       1.9950000       21354.264
       2.2909999       15798.436
       2.6300001       11838.844
       3.0200000       9010.1833
       3.4670000       6986.4643
       3.9809999       5493.4506
       4.5710001       4383.0545
       5.2480001       3583.7993
       5.7540002       3206.5404
       6.3099999       2924.1727
       6.6069999       2806.9763
       7.2440000       2639.7689
       7.5860000       3053.1844
       7.9429998       4800.5646
       8.2220001       7260.0788
       8.5109997       9651.0855
       8.8100004       12116.474
       9.1199999       15534.693
       9.4410000       17369.322
       9.7720003       16458.639
       10.120000       15175.293
       10.470000       13640.735
       10.840000       11497.354
       11.220000       9885.0501
       11.610000       8538.0231
       12.020000       7301.4810
       12.590000       5923.5105
       13.180000       4831.8437
       13.800000       4063.4057
       14.450000       3988.1476
       15.140000       4400.6627
       15.850000       4952.5537
       16.600000       5557.2525
       17.379999       6054.0399
       18.200001       6276.3328
       19.049999       6124.0335
       19.950001       5641.0919
       20.889999       5136.5000
       21.879999       4713.1708
       22.910000       4310.8821
       23.990000       3989.8932
       25.120001       3696.9629
       27.540001       3180.8610
       30.200001       2760.5042
       33.110001       2395.2222
       36.310001       2081.1324
       39.810001       1789.5720
       43.650002       1516.7320
       47.860001       1273.3178
       52.480000       1061.1560
       57.540001       879.22762
       63.099998       725.49803
       75.860001       491.86208
       91.199997       333.69313
       109.60000       228.05272
       120.20000       189.83898
       166.00000       99.169315
       218.80000       55.711456
       288.39999       31.821471
       380.20001       18.266502
       501.20001       10.507832
       660.70001       6.0476670
       871.00000       3.4824221
       1171.0000       1.9172626
       1451.0000       1.2454002
       2000.0000      0.65250673
